"","Facility Id","State","Latitude","Longitude","Industry Type (subparts)"
"1",1002515,"NM",32.7564,-104.2111,"C,PP,UU,W-PROC"
"2",1010508,"TX",33.471926,-102.53186,"UU"
"3",1009998,"TX",36.4725,-100.5517,"UU"
"4",1007367,"ND",47.59043,-104.0005,"C,NN-FRAC,PP,UU,W-PROC"
"5",1011121,"MT",45.354589,-105.67196,"UU"
"6",1011485,"WY",42.75407,-108.17038,"UU"
"7",1009946,"TX",36.458,-100.5462,"UU"
"8",1009630,"MS",31.59027,-90.504853,"UU"
"9",1014609,"ND",46.2125,-103.9412,"UU"
"10",1009997,"OK",36.521,-100.8975,"UU"
"11",1009631,"MS",31.486641,-91.09694,"UU"
"12",1012519,"TX",31.2407567,-103.065333,"C,PP,UU,W-PROC"
"13",1009632,"LA",32.441732,-91.588175,"UU"
"14",1013859,"TX",32.9233,-102.9019,"UU"
"15",1008412,"TX",28.461253,-99.10135,"C,PP,UU,W-PROC"
"16",1014619,"MT",46.3186,-104.154997,"UU"
"17",1004924,"WY",44.866702,-108.814934,"C,NN-FRAC,UU,W-PROC"
"18",1009956,"CO",39.742905,-104.98738,"UU,W-ONSH"
"19",1012092,"TX",32.121352,-102.63604,"UU"
"20",1009633,"MS",31.78154,-88.82722,"UU"
"21",1007441,"NM",32.42615,-103.148564,"C,PP,UU,W-PROC"
"22",1012643,"WY",44.7953,-108.5459,"UU"
"23",1012688,"WY",43.9588,-108.6635,"UU"
"24",1009947,"TX",36.4689,-100.5608,"UU"
"25",1011122,"WY",42.742331,-107.003784,"UU"
"26",1010657,"WY",43.7797,-108.5719,"UU"
"27",1009634,"TX",29.49997,-95.24695,"UU"
"28",1009635,"MS",31.880389,-89.007389,"UU"
"29",1011908,"TX",32.1425,-101.2683,"UU"
"30",1005897,"NM",32.174281,-103.174134,"C,UU,W-PROC"
"31",1011931,"TX",31.9636,-102.6018,"C,PP,UU,W-PROC"
"32",1009929,"TX",33.427683,-99.834815,"UU"
"33",1005641,"NM",32.6953,-103.2853,"C,PP,UU,W-PROC"
"34",1010304,"WY",42.0955,-107.0417,"UU"
"35",1010032,"TX",28.726014,-99.037991,"PP,UU"
"36",1009799,"TX",33.866995,-101.866362,"UU"
"37",1003719,"ND",48.8743194,-102.5457778,"NN-FRAC,PP,UU"
"38",1009636,"MS",31.345888,-90.358312,"UU"
"39",1009637,"LA",30.519792,-90.885878,"UU"
"40",1011385,"WY",42.848253,-108.318744,"UU"
"41",1008432,"NM",32.813889,-103.771944,"C,UU,W-PROC"
"42",1009638,"MS",31.492798,-90.42003,"UU"
"43",1010318,"AR",33.310999,-93.490239,"UU,W-ONSH"
"44",1004617,"WY",41.5744,-108.5414,"UU"
"45",1004893,"NM",32.624135,-103.292931,"C,NN-FRAC,PP,UU,W-PROC"
"46",1010178,"OK",36.9067,-101.6166,"UU"
"47",1012703,"WY",44.3572,-108.9115,"UU"
"48",1009704,"TX",31.969907,-102.644587,"UU"
"49",1009641,"TX",29.692444,-94.5065,"UU"
"50",1010440,"MI",44.291878,-86.209517,"UU"
"51",1012677,"WY",44.1362,-109.0618,"UU"
"52",1014467,"NM",32.1371469260185,-103.287467366585,"C,UU,W-PROC"
"53",1010199,"OK",36.9049,-101.613,"UU"
"54",1014560,"MI",44.7813192116423,-85.6393618634405,"C,UU"
"55",1010420,"CO",40.0975111,-108.87681111,"UU"
